3J,阿莱恩斯航空公司,AIR ALLIANCE
PR,菲律宾航空公司,PHILIPPINE AIRLINES
PT,瑞典西方航空公司,WEST AIR SWEDEN
PU,乌拉圭国家航空公司,PLUNA
PX,新几内亚航空公司,AIR NIUGINI
PY,苏里南航空公司,SURINAM AIRWAYS
QA,加勒比航空公司,AERO CARIBE
QF,快达航空公司,QANTAS AIRWAYS
QK,诺瓦航空公司,AIR NOVA
QL,莱索托航空公司,LESOTHO AIRWAYS
QM,马拉维航空公司,AIR MALAWI
QP,肯尼亚航空公司,AIR KENYA AVIATION
QQ,里诺航空公司,RENO AIR
QS,塔特拉航空公司,TATRA AIR
QU,乌干达航空公司,UGANDA AIRLINES
QV,老挝航空公司,LAO AVIATION
QX,地平线航空公司,HORIZON AIR
QY,欧洲航空运输公司,EUROPEAN AIR TRANSPORT(CARGO)
RA,尼泊乐王家航空公司,ROYAL NEPAL AIRLINES
RB,叙利亚阿拉伯航空公司,SYRIANARAB AIRLINES
RC,大西洋航空公司,ATLANTIC AIRWAYS
RD,诺瓦航空公司,AVIANOVA
RG,瓦力格航空公司,VARIG
RI,曼达拉航空公司,MANDALA AIRLINES
RJ,约旦王家航空公司,ROYALJORDANIAN
RK,非洲航空公司,AIR AFRIQUE
RO,罗马尼亚航空公司,TAROM
RQ,英基阿地纳航空公司,AIR ENGIADINA
RS,洲际航空公司,INTERCONTINENTALDE AVIACION
RV,里夫阿留申航空公司,REEVEALEUTIAN AIRWAYS
RY,卢旺达航空公司,AIR RWANDA
SB,喀里多尼亚国际航空公司,AIR CALEDONIEINTERNATIONAL
SC,山东航空公司,SHANDONG AIRLINES
SD,苏丹航空公司,SUDAN AIRWAYS
SE,达伊罗货运航空公司,DAS AIR(CARGO)
SF,包机航空公司,AIR CHARTER
SJ,南方航空运输公司,SOUTHERNAIRTRANSPORT
SK,北欧航空公司,SAS
SL,里奥南部地区航空服务公司,RIO-SULSERVICOSREGIONAIS
SN,比利时世界航空公司,SABENA
SP,亚速尔航空公司,SATA AIR ACORES
SQ,新加坡航空公司,SINGAPORE AIRLINES
SR,瑞士航空公司,SWISS AIR
SU,俄罗斯航空公司,AEROFLOT
SV,沙特阿拉伯航空公司,SAUDIA
SW,纳米比亚航空公司,AIR NAMIBIA
SY,阳光地区航空公司,SUNCOUNTRY AIRLINES
SZ,中国西南航空公司,CHINA SOUTHWEST
T8,内乌肯航空公司,NEUQUENDELESTADO
TA,塔卡国际航空公司,TACA INTERNATIONAL AIRLINES
TC,坦桑尼亚航空公司,AIR TANZANIA CORPORATION
TE,立陶宛航空公司,LITHUANIAN AIRLINES
TG,泰国国际航空,THAI AIRWAYS INTERNATIONAL
TK,土耳其航空公司,TURKISH AIRLINES
TM,莫桑比克航空公司,LAM-LINHASAEREASDEMOCAMBIQUE
TP,葡萄牙航空公司,TAPAIRPORTUGAL
TQ,环瑞典航空公司,TRANSWEDE AIRWAYS
TR,环巴西航空公司,TRANSBRASIL
TU,突尼斯航空公司,TUNIS AIR
TW,环球航空公司,TWA
TY,喀里多尼亚航空公司,AIR CALEDONIE
TZ,环美航空公司,AMERICANTRANS AIR
UA,联合航空公司,UNITED AIRLINES
UB,缅甸航空公司,MYANMAR AIRWAYS INTL
UC,拉德科智利航空公司,LADECO
UD,赫克斯航空公司,HEX AIR
UG,突尼斯空运公司,TUNINTER
UK,联合王国航空公司,AIR UK
UL,兰卡航空公司,AIR LANKA
UM,津巴布韦,AIR ZIMBABWE
UP,巴哈马航空公司,BAHAMAS AIR
US,合众国航空公司,US AIRWAYS
UU,奥斯特拉尔航空公司,AIR AUSTRAL
UY,喀麦隆航空公司,CAMEROON AIRLINES
V3,瓦努阿图航空公司,VAN AIR
VA,委内瑞拉国际航空公司,VIASA
VD,自由航空公司,AIR LIBERTE
VE,委内瑞拉航空,AVENSA AERO VISAVENEZOLANAS
VI,别克斯航空公司,VIEQUES AIRLINK
VK,通加鲁航空公司,AIR TUNGARUCORP
VM,法国地区航空公司,REGIONAL AIRLINES
VN,越南航空公司,VIETNAM AIRLINES
VO,蒂罗林航空公司,TYROLEAN AIRWAYS
VP,圣保罗航空公司,VASP
VS,维尔京大西洋航空公司,VIRGIN ATLANTIC
VT,塔希提航空公司,AIR TAHITI
VU,象牙航空公司,AIR LVOIRE
VX,哥伦比亚中央航空公司,ACES
WB,国民航空服务公司,SAN
WE,莱茵山航空公司,RHEINTALFLUGSEEWALD
WF,维德勒航空公司,WIDEROE'SFLYVESELSKAP
WH,中国西北航空公司,CHINA NORTHWEST AIRLINES
WI,贸易风国际航空公司,TRADE WINDS INTERNATIONAL(CARGO)
WL,太平洋大西洋航空公司,AERO PERLAS
WM,向风群岛国际航空公司,WINDWARD ISLANDS AIRWAYS
WN,西南航空公司,SOUTHWEST AIRLINES
WR,汤加皇家航空公司,ROYAL TONGAN AIRLINES
WT,尼日利亚航空公司,NIGERIA AIRWAYS
WX,安塞特快运公司,CITY JET ANSETT EXPRESS
WY,阿曼航空公司,OMAN AIR
XJ,梅萨巴航空公司,MESABA AVIATION
XK,地中海科西嘉航空公司,COMPAGNIEAERIENNECORSE
XO,中国新疆航空公司,XINJIANG AIRWAYS
XQ,行动航空公司,ACTION AIRLINES
XW,中国新华航空公司,XINHUA AIRLINES
YN,魁北克航空公司,AIR CREEBEC
YP,劳埃德航空公司,AEROLLOYD
YR,风景航空公司,SCENIC AIRLINES
YU,多米尼加空运公司,DOMIN AIR
YX,中西部捷运公司,MIDWEST EXPRESS AIRLINES
YZ,几内亚比绍运输公司,AEREOSDAGUINE-BISSAU
ZB,群主航空公司,MONARCH AIRLINES
ZC,斯威士兰皇家航空公司,ROYAL SWAZI AIRWAYS
ZH,深圳航空公司,SHENZHEN AIRLINES
ZK,格雷特湖航空公司,GREATLAKES AVIATION
ZL,黑泽尔顿航空公司,HAZELTON AIRLINES
ZM,扎伊尔夏依波空运公司,SCIBE AIRLIFT
ZQ,新西兰安塞特航空公司,ANSETT NEWZEALAND
ZR,穆克航空公司,MUK AIR
ZV,中西部航空公司,AIR MIDWEST
ZY,阿达航空公司,ADA AIR
